ds,yhat,yhat_lower,yhat_upper
2019-01-06,11141.682347038453,4612.889180076755,17766.358310766616
2019-01-13,6893.05225750732,-246.68211135589016,13557.915706222007
2019-01-20,6056.545233594441,-269.3188065965913,12514.9646705761
2019-01-27,7920.058339017982,1530.1759274459705,14754.800527928664
2019-02-03,9347.814560979998,2569.109854124365,16016.101845178187
2019-02-10,8016.918147622784,1599.8341711280325,14107.266256123508
2019-02-17,4952.882711293071,-1888.2142575731211,11665.51833128454
2019-02-24,3616.0963486057562,-3382.1391010152283,10351.71400028971
2019-03-03,6411.323585956768,81.08940174755753,13178.854367275613
2019-03-10,12191.733244440706,5356.770851283772,18429.60605349029
2019-03-17,17228.170822354477,10478.200199052579,24033.32867523629
2019-03-24,18518.461210960693,12262.172147393734,25342.83076427773
