horizon,mse,rmse,mae,mape,mdape,smape,coverage
48 days,37354532.57580873,6111.835450648908,4658.906246066734,0.4686940613134206,0.46407181581247814,0.5709726860033265,0.7
49 days,62447536.77667104,7902.375388240616,6087.448744619832,0.4980466579155025,0.46407181581247814,0.6156764509997361,0.6
50 days,67048257.47668336,8188.300035824491,6622.167347461427,0.5075867559431816,0.5522477361206781,0.620731062072178,0.5
51 days,72735076.11620125,8528.486156182775,7153.451063792518,0.5061152315772872,0.5522477361206781,0.6186943623117898,0.4
52 days,72034626.48819736,8487.321514364668,6897.591708653919,0.43811640258991585,0.3899914007187434,0.5688563071263036,0.4
53 days,69179947.64359894,8317.44838538833,6726.563761944318,0.5372466401652345,0.3899914007187434,0.6079414969814083,0.4
54 days,71553065.64245924,8458.90451787105,7111.523819657751,0.5494147682891598,0.4051536896586036,0.6241450169228749,0.4
55 days,60915797.19763155,7804.857282335888,6335.395359644074,0.5289479933533553,0.4051536896586036,0.6085801385079758,0.4
56 days,59040639.92335327,7683.7907261555,6185.285005691766,0.5031211497963834,0.4051536896586036,0.5574175147213858,0.45
57 days,59071246.18990984,7685.782080563425,6254.870600947169,0.48141127884648904,0.31809496337821974,0.5118808139129218,0.5
58 days,38448706.46819151,6200.702094778583,5351.6720772688295,0.44281394850803346,0.30270557868539993,0.44315339218383104,0.5
59 days,34058987.48015402,5836.007837567906,4876.331138013659,0.43079603865281724,0.30270557868539993,0.4101154971202886,0.6
60 days,31826784.05783934,5641.523203695908,4722.115998194633,0.49977668402013914,0.31809496337821974,0.4417193083176295,0.6
61 days,36269276.666503824,6022.397916652787,5379.744284140634,0.5296144574709991,0.3224235852359232,0.47755876157757193,0.5
62 days,52903615.40731432,7273.487155918701,6062.706532975526,0.3965826927758641,0.3138996330829836,0.4339353041024864,0.5
63 days,48041956.49025692,6931.230517754904,5708.840730045494,0.37596513239492996,0.3138996330829836,0.3955352669878317,0.55
64 days,43848187.08520728,6621.796363918727,5497.175566146257,0.3608475042263889,0.30270557868539993,0.35951163655655405,0.6
65 days,43747778.4615788,6614.210343009874,5481.284814783894,0.3502506514720065,0.30270557868539993,0.34619034308533264,0.6
66 days,45007037.7014248,6708.728471284614,5586.86280310726,0.4124902858016064,0.3070342005431034,0.3731368506342889,0.5
67 days,44701399.50670141,6685.910521888653,5564.349122157974,0.4858975151855889,0.3408688100872864,0.40640006957269853,0.6
68 days,44244274.93759803,6651.637011863923,5407.33206944194,0.4533410871359539,0.30605119652333035,0.3793637895079508,0.6
69 days,35968678.43855047,5997.389301900492,4355.658028678061,0.33850592192975354,0.18373663714981167,0.2915367396625956,0.8
70 days,24033344.530475967,4902.381516209848,3599.2422968135043,0.32233109557969103,0.179196105836564,0.26933071978093814,0.85
71 days,14021405.92508851,3744.516781253425,3119.1080158292743,0.31597857313244215,0.179196105836564,0.25104614723358654,0.9
72 days,20269072.93122657,4502.118715807766,3762.571334548092,0.3326919345371568,0.20049998537569275,0.27252063104165813,0.8
73 days,24074597.322264332,4906.587135908659,4145.217611589309,0.39062242744618936,0.24507097357651322,0.31026285829561245,0.7
74 days,24019708.06569252,4900.9905188331595,4136.173915215938,0.39418306145775406,0.2461107954084557,0.3145641482849563,0.7
75 days,19825463.80346123,4452.5794550419005,3531.470474705982,0.3031905107489821,0.1969992758943876,0.2531714727093636,0.8
76 days,30538056.70681279,5526.124926819226,4533.885298513831,0.4509223284133809,0.2461107954084557,0.3322781123863739,0.6
77 days,31385559.95938822,5602.281674406261,4722.801358193571,0.47374392662652864,0.29927534662668065,0.36022916518225273,0.6
78 days,35389374.15474815,5948.896885536692,5238.432038231385,0.5128043725636375,0.31077150438746765,0.3901237026808042,0.5
79 days,34960238.16218032,5912.718339493293,5062.596812850618,0.4951089061530838,0.31077150438746765,0.3703179073932172,0.5
80 days,46854643.06211485,6845.045146828094,5770.462466982726,0.5115645331682016,0.38795678592695715,0.4041996638847446,0.4
81 days,42023045.04180132,6482.518418161364,5373.646251916665,0.5447926953438079,0.46274772032207545,0.41552978501392135,0.5
82 days,40570284.15198275,6369.480681498512,5258.536365868514,0.4883267281230991,0.3815534817022693,0.3838695582750052,0.6
83 days,40021913.72111333,6326.287514894761,5177.229381509766,0.49430340685854013,0.3815534817022693,0.38520926281705814,0.6
84 days,32644400.008667387,5713.527807639286,4460.131636666595,0.38692019235128894,0.26688145774221667,0.3318712341657718,0.7
85 days,28470357.6434107,5335.762142694397,4177.524677972969,0.3197335432851603,0.26688145774221667,0.3026610121051983,0.8
86 days,27874528.19111641,5279.63333870037,4064.2726142186575,0.30215015772912157,0.22454024444691506,0.28049696440055805,0.8
87 days,30412024.952409524,5514.709870193492,4237.375079856496,0.2977538973224234,0.22454024444691506,0.2962662558331114,0.8
88 days,37225366.62297651,6101.2594292470885,5029.398989773124,0.3437142014509481,0.32609439432853193,0.35726463332841873,0.7
89 days,26242691.201889157,5122.7620676632205,4407.660817832735,0.3443881080580701,0.32609439432853193,0.3354965671654926,0.8
90 days,23030188.59894011,4798.977870228213,3981.333321812027,0.3084361339895804,0.31125073307401063,0.32172918736228295,0.8
